         1187194 function calls (1168088 primitive calls) in 7.779 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        3    0.000    0.000    0.000    0.000 __init__.py:235(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
     13/7    0.000    0.000    0.003    0.000 __init__.py:245(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
     8034    0.006    0.000    0.006    0.000 __init__.py:256(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:26(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:275(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:278(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:283(create_unicode_buffer)
        1    0.002    0.002    0.006    0.006 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:320(CDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:343(checkdep_ps_distiller)
        2    0.000    0.000    0.000    0.000 __init__.py:347(_FuncPtr)
        4    0.000    0.000    0.000    0.000 __init__.py:363(__getattr__)
        4    0.000    0.000    0.000    0.000 __init__.py:370(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:376(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:379(checkdep_usetex)
        1    0.002    0.002    0.005    0.005 __init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:385(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:394(HRESULT)
        1    0.005    0.005    0.005    0.005 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:407(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:416(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__getattr__)
        8    0.000    0.000    0.001    0.000 __init__.py:420(_get_home)
        1    0.001    0.001    0.003    0.003 __init__.py:44(<module>)
        3    0.000    0.000    0.003    0.001 __init__.py:447(_get_configdir)
        1    0.003    0.003    0.020    0.020 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:479(_get_data_path)
        2    0.000    0.000    0.000    0.000 __init__.py:48(get_projection_class)
        3    0.000    0.000    0.000    0.000 __init__.py:483(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:484(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:5(ProjectionRegistry)
        2    0.000    0.000    0.000    0.000 __init__.py:518(_get_data_path_cached)
        1    0.000    0.000    0.002    0.002 __init__.py:551(matplotlib_fname)
        3    0.004    0.001    0.027    0.009 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:625(RcParams)
        4    0.000    0.000    0.000    0.000 __init__.py:639(__setitem__)
    56106    0.061    0.000    0.061    0.000 __init__.py:655(__getitem__)
        1    0.001    0.001    0.003    0.003 __init__.py:680(rc_params)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:80(get_projection_names)
        1    0.012    0.012    0.012    0.012 __init__.py:84(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:924(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:928(interactive)
        4    0.000    0.000    0.000    0.000 __init__.py:936(is_interactive)
        1    0.007    0.007    0.076    0.076 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:49(cubehelix)
        1    0.000    0.000    0.000    0.000 _cm.py:5(<module>)
        3    0.000    0.000    0.000    0.000 _cm.py:88(get_color_function)
        1    0.000    0.000    0.000    0.000 _datasource.py:148(DataSource)
        1    0.001    0.001    0.006    0.006 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:47(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:482(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:70(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:22(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:45(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:105(SAXNotRecognizedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:115(SAXNotSupportedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:125(SAXReaderNotAvailable)
        1    0.000    0.000    0.000    0.000 _exceptions.py:46(SAXParseException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:9(SAXException)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:334(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:6(PackageLoader)
       40    0.000    0.000    0.000    0.000 _inspect.py:118(getargspec)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
       31    0.000    0.000    0.000    0.000 _inspect.py:157(formatargspec)
        3    0.000    0.000    0.000    0.000 _inspect.py:159(<lambda>)
        1    0.000    0.000    0.000    0.000 _inspect.py:160(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
       31    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:239(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:260(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:267(_ctypes)
        1    0.001    0.001    0.005    0.005 _internal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:145(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:231(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:423(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:430(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:437(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
        1    0.001    0.001    0.001    0.001 _mathtext_data.py:3(<module>)
      105    0.000    0.000    0.000    0.000 _pylab_helpers.py:109(get_active)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:118(set_active)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:14(Gcf)
        1    0.001    0.001    0.001    0.001 _pylab_helpers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:35(get_fig_manager)
        5    0.000    0.000    0.000    0.000 abc.py:104(register)
       37    0.000    0.000    0.000    0.000 abc.py:14(abstractmethod)
      9/5    0.000    0.000    0.000    0.000 abc.py:147(__subclasscheck__)
        6    0.000    0.000    0.001    0.000 abc.py:85(__new__)
       47    0.000    0.000    0.000    0.000 abc.py:88(<genexpr>)
        1    0.001    0.001    0.087    0.087 add_newdocs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 afm.py:297(AFM)
        1    0.001    0.001    0.002    0.002 afm.py:35(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:387(FloatFormat)
        1    0.001    0.001    0.001    0.001 arrayprint.py:4(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:499(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:529(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:540(ComplexFormat)
        1    0.001    0.001    0.001    0.001 arraysetops.py:25(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:21(Arrayterator)
        1    0.001    0.001    0.001    0.001 arrayterator.py:9(<module>)
        1    0.001    0.001    0.008    0.008 artist.py:1(<module>)
       11    0.000    0.000    0.017    0.002 artist.py:1212(kwdoc)
     7503    0.007    0.000    0.012    0.000 artist.py:143(convert_xunits)
     7503    0.005    0.000    0.009    0.000 artist.py:153(convert_yunits)
        4    0.000    0.000    0.000    0.000 artist.py:161(set_axes)
     1002    0.001    0.000    0.001    0.000 artist.py:203(pchanged)
        2    0.000    0.000    0.000    0.000 artist.py:211(is_transform_set)
      230    0.000    0.000    0.000    0.000 artist.py:218(set_transform)
     5792    0.004    0.000    0.004    0.000 artist.py:229(get_transform)
       26    0.000    0.000    0.000    0.000 artist.py:28(allow_rasterization)
     6870    0.010    0.000    0.014    0.000 artist.py:36(before)
     4546    0.001    0.000    0.001    0.000 artist.py:394(get_gid)
     3132    0.005    0.000    0.010    0.000 artist.py:408(get_snap)
     6870    0.012    0.000    0.016    0.000 artist.py:44(after)
      299    0.000    0.000    0.001    0.000 artist.py:448(set_figure)
        1    0.000    0.000    0.000    0.000 artist.py:458(set_clip_box)
       35    0.000    0.000    0.005    0.000 artist.py:467(set_clip_path)
     1414    0.000    0.000    0.000    0.000 artist.py:520(get_alpha)
     8890    0.003    0.000    0.003    0.000 artist.py:527(get_visible)
 6870/102    0.031    0.000    2.614    0.026 artist.py:53(draw_wrapper)
      808    0.000    0.000    0.000    0.000 artist.py:531(get_animated)
        1    0.000    0.000    0.000    0.000 artist.py:543(get_clip_path)
     7071    0.010    0.000    0.013    0.000 artist.py:566(_set_gc_clip)
    13740    0.005    0.000    0.005    0.000 artist.py:576(get_rasterized)
    13740    0.004    0.000    0.004    0.000 artist.py:593(get_agg_filter)
      232    0.001    0.000    0.001    0.000 artist.py:648(update)
        1    0.000    0.000    0.000    0.000 artist.py:66(Artist)
        1    0.000    0.000    0.000    0.000 artist.py:666(get_label)
        2    0.000    0.000    0.000    0.000 artist.py:672(set_label)
      101    0.000    0.000    0.000    0.000 artist.py:683(get_zorder)
      290    0.000    0.000    0.001    0.000 artist.py:689(set_zorder)
       60    0.000    0.000    0.000    0.000 artist.py:699(update_from)
      268    0.002    0.000    0.002    0.000 artist.py:74(__init__)
        1    0.000    0.000    0.001    0.001 artist.py:782(ArtistInspector)
       11    0.000    0.000    0.005    0.000 artist.py:788(__init__)
       11    0.002    0.000    0.005    0.000 artist.py:805(get_aliases)
      394    0.001    0.000    0.005    0.000 artist.py:830(get_valid_values)
       11    0.002    0.000    0.005    0.000 artist.py:857(_get_setters_and_targets)
     1389    0.001    0.000    0.001    0.000 artist.py:886(is_alias)
      394    0.000    0.000    0.000    0.000 artist.py:895(aliased_name)
       11    0.001    0.000    0.011    0.001 artist.py:929(pprint_setters)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.009    0.009    0.156    0.156 axes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axes.py:1037(set_anchor)
      101    0.001    0.000    0.010    0.000 axes.py:1092(apply_aspect)
        1    0.000    0.000    0.000    0.000 axes.py:1239(axis)
        1    0.000    0.000    0.000    0.000 axes.py:1432(add_line)
        1    0.000    0.000    0.000    0.000 axes.py:1450(_update_line_limits)
        1    0.000    0.000    0.000    0.000 axes.py:156(_process_plot_var_args)
        2    0.000    0.000    0.000    0.000 axes.py:1574(_process_unit_info)
        2    0.000    0.000    0.000    0.000 axes.py:169(__init__)
        2    0.000    0.000    0.000    0.000 axes.py:174(set_color_cycle)
